CHR,START,END,DATA,CHRN,REGIONBED
chr1,10456000,10656000,iCOGS,1,chr1_10456000_10656000
chr1,150558000,150758000,iCOGS,1,chr1_150558000_150758000
chr1,154734000,155012000,iCOGS,1,chr1_154734000_155012000
chr1,204392000,204619000,iCOGS,1,chr1_204392000_204619000
chr1,205658000,205858000,iCOGS,1,chr1_205658000_205858000
chr2,10018000,10218000,iCOGS,2,chr2_10018000_10218000
chr2,10611000,10811000,iCOGS,2,chr2_10611000_10811000
chr2,20778000,20988000,iCOGS,2,chr2_20778000_20988000
chr2,43454000,43738000,iCOGS,2,chr2_43454000_43738000
chr2,62663000,62863000,iCOGS,2,chr2_62663000_62863000
chr2,63032000,63378000,iCOGS,2,chr2_63032000_63378000
chr2,85668000,85894000,iCOGS,2,chr2_85668000_85894000
chr2,173210000,173516000,iCOGS,2,chr2_173210000_173516000
chr2,238287000,238543000,iCOGS,2,chr2_238287000_238543000
chr2,242057000,242257000,iCOGS,2,chr2_242057000_242257000
chr2,242283000,242521000,iCOGS,2,chr2_242283000_242521000
chr3,87011000,87567000,iCOGS,3,chr3_87011000_87567000
chr3,113176000,113382000,iCOGS,3,chr3_113176000_113382000
chr3,127819000,128138000,iCOGS,3,chr3_127819000_128138000
chr3,128152000,128352000,iCOGS,3,chr3_128152000_128352000
chr3,141003000,141203000,iCOGS,3,chr3_141003000_141203000
chr3,169975000,170230000,iCOGS,3,chr3_169975000_170230000
chr4,73755000,73955000,iCOGS,4,chr4_73755000_73955000
chr4,74249000,74449000,iCOGS,4,chr4_74249000_74449000
chr4,95406000,95663000,iCOGS,4,chr4_95406000_95663000
chr4,105962000,106165000,iCOGS,4,chr4_105962000_106165000
chr5,1180000,1399000,iCOGS,5,chr5_1180000_1399000
chr5,1792000,1996000,iCOGS,5,chr5_1792000_1996000
chr5,44266000,44485000,iCOGS,5,chr5_44266000_44485000
chr5,172839000,173039000,iCOGS,5,chr5_172839000_173039000
chr6,11119000,11319000,iCOGS,6,chr6_11119000_11319000
chr6,29974000,30174000,iCOGS,6,chr6_29974000_30174000
chr6,31019000,31219000,iCOGS,6,chr6_31019000_31219000
chr6,31229000,31429000,iCOGS,6,chr6_31229000_31429000
chr6,32092000,32292000,iCOGS,6,chr6_32092000_32292000
chr6,32301000,32501000,iCOGS,6,chr6_32301000_32501000
chr6,41436000,41644000,iCOGS,6,chr6_41436000_41644000
chr6,76396000,76596000,iCOGS,6,chr6_76396000_76596000
chr6,109179000,109385000,iCOGS,6,chr6_109179000_109385000
chr6,117066000,117310000,iCOGS,6,chr6_117066000_117310000
chr6,153333000,153541000,iCOGS,6,chr6_153333000_153541000
chr6,160482000,160682000,iCOGS,6,chr6_160482000_160682000
chr6,160734000,160982000,iCOGS,6,chr6_160734000_160982000
chr7,20894000,21097000,iCOGS,7,chr7_20894000_21097000
chr7,27491000,27691000,iCOGS,7,chr7_27491000_27691000
chr7,27877000,28077000,iCOGS,7,chr7_27877000_28077000
chr7,47337000,47537000,iCOGS,7,chr7_47337000_47537000
chr7,97708000,97916000,iCOGS,7,chr7_97708000_97916000
chr8,23339000,23629000,iCOGS,8,chr8_23339000_23629000
chr8,25792000,26010000,iCOGS,8,chr8_25792000_26010000
chr8,127825000,128225000,iCOGS,8,chr8_127825000_128225000
chr8,128236000,128632000,iCOGS,8,chr8_128236000_128632000
chr9,21942000,22142000,iCOGS,9,chr9_21942000_22142000
chr9,110051000,110256000,iCOGS,9,chr9_110051000_110256000
chr9,124327000,124527000,iCOGS,9,chr9_124327000_124527000
chr10,45983000,46183000,iCOGS,10,chr10_45983000_46183000
chr10,51449000,51649000,iCOGS,10,chr10_51449000_51649000
chr10,104314000,104515000,iCOGS,10,chr10_104314000_104515000
chr10,122745000,122945000,iCOGS,10,chr10_122745000_122945000
chr10,126541000,126797000,iCOGS,10,chr10_126541000_126797000
chr11,2134000,2334000,iCOGS,11,chr11_2134000_2334000
chr11,58815000,59015000,iCOGS,11,chr11_58815000_59015000
chr11,68807000,69094000,iCOGS,11,chr11_68807000_69094000
chr11,69354000,69554000,iCOGS,11,chr11_69354000_69554000
chr11,102302000,102502000,iCOGS,11,chr11_102302000_102502000
chr11,113707000,113907000,iCOGS,11,chr11_113707000_113907000
chr12,48320000,48520000,iCOGS,12,chr12_48320000_48520000
chr12,49576000,49776000,iCOGS,12,chr12_49576000_49776000
chr12,53174000,53417000,iCOGS,12,chr12_53174000_53417000
chr12,114586000,114786000,iCOGS,12,chr12_114586000_114786000
chr12,114984000,115184000,iCOGS,12,chr12_114984000_115184000
chr13,73628000,73828000,iCOGS,13,chr13_73628000_73828000
chr14,53272000,53490000,iCOGS,14,chr14_53272000_53490000
chr14,61023000,61223000,iCOGS,14,chr14_61023000_61223000
chr14,68903000,69227000,iCOGS,14,chr14_68903000_69227000
chr14,70992000,71192000,iCOGS,14,chr14_70992000_71192000
chr16,71591000,71791000,iCOGS,16,chr16_71591000_71791000
chr17,519000,719000,iCOGS,17,chr17_519000_719000
chr17,35947000,36204000,iCOGS,17,chr17_35947000_36204000
chr17,46706000,47016000,iCOGS,17,chr17_46706000_47016000
chr17,47245000,47552000,iCOGS,17,chr17_47245000_47552000
chr17,69009000,69217000,iCOGS,17,chr17_69009000_69217000
chr18,76671000,76874000,iCOGS,18,chr18_76671000_76874000
chr19,38636000,38845000,iCOGS,19,chr19_38636000_38845000
chr19,41886000,42086000,iCOGS,19,chr19_41886000_42086000
chr19,51262000,51465000,iCOGS,19,chr19_51262000_51465000
chr19,54698000,54898000,iCOGS,19,chr19_54698000_54898000
chr20,49428000,49628000,iCOGS,20,chr20_49428000_49628000
chr20,60916000,61116000,iCOGS,20,chr20_60916000_61116000
chr20,62263000,62474000,iCOGS,20,chr20_62263000_62474000
chr21,42801000,43001000,iCOGS,21,chr21_42801000_43001000
chr22,19658000,19858000,iCOGS,22,chr22_19658000_19858000
chr22,40352000,40552000,iCOGS,22,chr22_40352000_40552000
chr22,40698000,40898000,iCOGS,22,chr22_40698000_40898000
chr22,43400000,43613000,iCOGS,22,chr22_43400000_43613000
chrX,9714000,9914000,iCOGS,23,chrX_9714000_9914000
chrX,51142000,51388000,iCOGS,23,chrX_51142000_51388000
chrX,52797000,52997000,iCOGS,23,chrX_52797000_52997000
chrX,66782000,67122000,iCOGS,23,chrX_66782000_67122000
chrX,70040000,70240000,iCOGS,23,chrX_70040000_70240000
chrX,70308000,70508000,iCOGS,23,chrX_70308000_70508000
chr1,150158287,151158287,OncoArrayFineMapping,1,chr1_150158287_151158287
chr1,154334183,155411798,OncoArrayFineMapping,1,chr1_154334183_155411798
chr1,203991549,205018842,OncoArrayFineMapping,1,chr1_203991549_205018842
chr1,205257824,206257824,OncoArrayFineMapping,1,chr1_205257824_206257824
chr2,9611973,10600000,OncoArrayFineMapping,2,chr2_9611973_10600000
chr2,10600001,11210730,OncoArrayFineMapping,2,chr2_10600001_11210730
chr2,20388265,21388265,OncoArrayFineMapping,2,chr2_20388265_21388265
chr2,43053949,44137998,OncoArrayFineMapping,2,chr2_43053949_44137998
chr2,62263347,63777843,OncoArrayFineMapping,2,chr2_62263347_63777843
chr2,85267735,86294297,OncoArrayFineMapping,2,chr2_85267735_86294297
chr2,172809618,173915560,OncoArrayFineMapping,2,chr2_172809618_173915560
chr2,237940449,238943226,OncoArrayFineMapping,2,chr2_237940449_238943226
chr2,241657087,242920971,OncoArrayFineMapping,2,chr2_241657087_242920971
chr3,86610674,87967332,OncoArrayFineMapping,3,chr3_86610674_87967332
chr3,112775624,113782326,OncoArrayFineMapping,3,chr3_112775624_113782326
chr3,127419046,128752313,OncoArrayFineMapping,3,chr3_127419046_128752313
chr3,140602833,141610074,OncoArrayFineMapping,3,chr3_140602833_141610074
chr3,169574517,170630102,OncoArrayFineMapping,3,chr3_169574517_170630102
chr4,73355253,74849158,OncoArrayFineMapping,4,chr4_73355253_74849158
chr4,95005592,96062877,OncoArrayFineMapping,4,chr4_95005592_96062877
chr4,105561534,106564626,OncoArrayFineMapping,4,chr4_105561534_106564626
chr5,780028,1600000,OncoArrayFineMapping,5,chr5_780028_1600000
chr5,1600001,2395829,OncoArrayFineMapping,5,chr5_1600001_2395829
chr5,43865545,44885415,OncoArrayFineMapping,5,chr5_43865545_44885415
