CHR	BP	ANNOTATE
chr1	154357678	NA
chr1	154376671	NA
chr1	154376820	NA
chr1	154376896	NA
chr1	154377898	NA
chr1	154379369	NA
chr1	154379887	NA
chr1	154380419	NA
chr1	154380486	NA
chr1	154380934	NA
chr1	154381103	NA
chr1	154381781	NA
chr1	154382049	NA
chr1	154382443	NA
chr1	154387025	NA
chr1	154388220	NA
chr1	154388668	NA
chr1	154388686	NA
chr1	154389196	NA
chr1	154389741	NA
chr1	154390575	NA
chr1	154390932	NA
chr1	154391504	NA
chr1	154391819	NA
chr1	154391882	NA
chr1	154392674	NA
chr1	154392851	NA
chr1	154394072	NA
chr1	154394296	NA
chr1	154394297	NA
chr1	154394417	NA
chr1	154394766	NA
chr1	154395077	NA
chr1	154395125	NA
chr1	154395212	NA
chr1	154396203	NA
chr1	154397932	NA
chr1	154397933	NA
chr1	154397984	NA
chr1	154398426	NA
chr1	154398961	NA
chr1	154398983	NA
chr1	154399353	NA
chr1	154399649	NA
chr1	154400015	NA
chr1	154400320	NA
chr1	154400521	NA
chr1	154400799	NA
chr1	154400893	NA
chr1	154401093	NA
chr1	154401679	exonic
chr1	154401796	exonic
chr1	154401972	NA
chr1	154403414	NA
chr1	154403471	NA
chr1	154410482	NA
chr1	154410490	NA
chr1	154415848	NA
chr1	154416069	NA
chr1	154419133	NA
chr1	154426097	NA
chr1	154426190	NA
chr1	154426264	NA
chr1	154426970	exonic
chr1	154436195	NA
chr1	154436384	NA
chr1	154436404	NA
chr1	154436436	NA
chr1	154437896	NA
chr1	154438084	NA
chr1	154438143	NA
chr1	154438680	NA
chr1	154438880	NA
chr1	154439338	NA
chr1	154439474	NA
chr1	154439865	NA
chr1	154439884	NA
chr1	154440062	NA
chr1	154440604	NA
chr1	154442960	NA
chr1	154451420	NA
chr1	154458344	NA
chr1	154458647	NA
chr1	154459477	NA
chr1	154459656	NA
chr1	154462195	NA
chr1	154462360	NA
chr1	154472533	NA
chr1	154474131	exonic
chr1	154474557	NA
chr1	154474875	NA
chr1	154474900	NA
chr1	154475330	NA
chr1	154475331	NA
chr1	154475332	NA
chr1	154478600	NA
chr1	154478763	NA
chr1	154479132	NA
chr1	154480318	NA
chr1	154491683	NA
chr1	154493310	NA
chr1	154494082	NA
chr1	154494480	NA
