"CHR","BP","TYPE1","TYPE2","COLOUR_HEX","TYPE2N"
1,150267316,"ChromHMM","Promoter","#00DD00",6
1,150270088,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150276022,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150283370,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150334248,"ChromHMM","Transcribed","#E0E0E0",9
1,150436838,"ChromHMM","CTCF","#FFA500",4
1,150506589,"ChromHMM","Enhancer","#0000AA",7
1,150526044,"DNaseI","DNaseI","#C9DD03",1
1,150526044,"ChromHMM","Transcribed","#E0E0E0",9
1,150554876,"ChromHMM","Transcribed","#E0E0E0",9
1,150556036,"ChromHMM","Transcribed","#E0E0E0",9
1,150558293,"ChromHMM","Transcribed","#E0E0E0",9
1,150558997,"ChromHMM","Transcribed","#E0E0E0",9
1,150562845,"ChromHMM","Transcribed","#E0E0E0",9
1,150563440,"ChromHMM","Transcribed","#E0E0E0",9
1,150566861,"ChromHMM","Transcribed","#E0E0E0",9
1,150569968,"ChromHMM","Transcribed","#E0E0E0",9
1,150570238,"ChromHMM","Transcribed","#E0E0E0",9
1,150582438,"ChromHMM","Enhancer","#0000AA",7
1,150584834,"ChromHMM","Enhancer","#0000AA",7
1,150586313,"DNaseI","DNaseI","#C9DD03",1
1,150586313,"ChromHMM","Enhancer","#0000AA",7
1,150586316,"DNaseI","DNaseI","#C9DD03",1
1,150586316,"ChromHMM","Enhancer","#0000AA",7
1,150594701,"Conserved","Conserved","#F9A100",2
1,150594701,"ChromHMM","Enhancer","#0000AA",7
1,150596411,"ChromHMM","Enhancer","#0000AA",7
1,150608888,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150611345,"ChromHMM","Enhancer","#0000AA",7
1,150618632,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150630401,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150631310,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150634472,"ChromHMM","Enhancer","#0000AA",7
1,150635774,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150637452,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150637953,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150640078,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150642159,"ChromHMM","Transcribed","#E0E0E0",9
1,150650194,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150658287,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150659692,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150659695,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150660702,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150660877,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150666860,"Conserved","Conserved","#F9A100",2
1,150666860,"ChromHMM","Transcribed","#E0E0E0",9
1,150672241,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150672262,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150683156,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150689236,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150692409,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150696000,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150696091,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150706794,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150716112,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150717051,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150718602,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150725401,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150727394,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150734079,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150738557,"ChromHMM","Enhancer","#0000AA",7
1,150742774,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150747414,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150748134,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150758047,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150758604,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150758727,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150759979,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150772613,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150777514,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150780582,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150796970,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150799112,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150801466,"Conserved","Conserved","#F9A100",2
1,150801466,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150809116,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150812858,"Conserved","Conserved","#F9A100",2
1,150812858,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150816886,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150819480,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150833805,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150842696,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150845380,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150848681,"DNaseI","DNaseI","#C9DD03",1
1,150848681,"Conserved","Conserved","#F9A100",2
1,150848681,"ChromHMM","Promoter","#00DD00",6
1,150850035,"ChromHMM","Transcribed","#E0E0E0",9
1,150854767,"ChromHMM","Transcribed","#E0E0E0",9
1,150868102,"DNaseI","DNaseI","#C9DD03",1
1,150868102,"ChromHMM","Enhancer","#0000AA",7
1,150868282,"DNaseI","DNaseI","#C9DD03",1
1,150868282,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150871104,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150871405,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150871407,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150877681,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150878099,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150884271,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150893563,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150914838,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150918835,"Conserved","Conserved","#F9A100",2
1,150918835,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150919910,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150921064,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150928758,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150932273,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150937405,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150937668,"Conserved","Conserved","#F9A100",2
1,150937668,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150940625,"Conserved","Conserved","#F9A100",2
1,150940625,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150944169,"DNaseI","DNaseI","#C9DD03",1
1,150944169,"ChromHMM","Enhancer","#0000AA",7
1,150945607,"ChromHMM","Promoter","#00DD00",6
1,150947745,"DNaseI","DNaseI","#C9DD03",1
1,150947745,"ChromHMM","Promoter","#00DD00",6
1,150951477,"ChromHMM","Enhancer","#0000AA",7
1,150954261,"DNaseI","DNaseI","#C9DD03",1
1,150954261,"ChromHMM","Enhancer","#0000AA",7
1,150954671,"DNaseI","DNaseI","#C9DD03",1
1,150954671,"Conserved","Conserved","#F9A100",2
1,150954671,"ChromHMM","Enhancer","#0000AA",7
1,150956947,"ChromHMM","Heterochromatin","#D3D3D3",3
1,150974162,"ChromHMM","Heterochromatin","#D3D3D3",3
1,154980351,"DNaseI","DNaseI","#C9DD03",1
1,154980351,"Conserved","Conserved","#F9A100",2
1,154980351,"ChromHMM","Promoter","#00DD00",6
1,154987704,"Conserved","Conserved","#F9A100",2
1,154987704,"ChromHMM","Enhancer","#0000AA",7
1,204027009,"DNaseI","DNaseI","#C9DD03",1
1,204027009,"ChromHMM","Enhancer","#0000AA",7
1,204028177,"DNaseI","DNaseI","#C9DD03",1
