CHR	BP	ANNOTATE
chr2	173368930	exonic
chr2	172965270	UTR3
chr2	172926226	exonic
chr2	172945107	exonic
chr2	172966250	exonic
chr2	173339808	exonic
chr2	173352103	exonic
chr2	173352157	exonic
chr2	173352458	exonic
chr2	173355800	exonic
chr2	173451074	exonic
chr2	173460640	exonic
chr2	172967128	exonic
chr2	172962310	NA
chr2	172986111	NA
chr2	173020726	NA
chr2	173037385	NA
chr2	173096940	NA
chr2	173110888	NA
chr2	173117934	NA
chr2	173117940	NA
chr2	173118624	NA
chr2	173163175	NA
chr2	173163579	NA
chr2	173163581	NA
chr2	173216181	NA
chr2	173237267	NA
chr2	173248528	NA
chr2	173269728	NA
chr2	173294187	NA
chr2	173295550	NA
chr2	173303484	NA
chr2	173305795	NA
chr2	173306284	NA
chr2	173312576	NA
chr2	173313198	NA
chr2	173319869	NA
chr2	173320714	NA
chr2	173361380	NA
chr2	173417671	NA
chr2	173421794	NA
chr2	173505730	NA
chr2	173505742	NA
chr2	173505744	NA
chr2	173505747	NA
chr2	173505748	NA
chr2	173505775	NA
chr2	173537789	NA
chr2	173708470	NA
chr2	173096424	NA
chr2	173326891	NA
chr2	173327168	NA
chr2	173557660	NA
chr2	173558361	NA
chr2	172961951	NA
chr2	173238265	NA
chr2	172955011	NA
chr2	173033895	NA
chr2	173327032	NA
chr2	173569393	NA
chr2	173314339	NA
chr2	173060756	NA
chr2	173060807	NA
chr2	173326436	NA
chr2	173326619	NA
chr2	173327249	NA
chr2	173327273	NA
chr2	173165126	NA
chr2	172984009	NA
chr2	173073804	NA
chr2	173073917	NA
chr2	173094008	NA
chr2	173164799	NA
chr2	173164901	NA
chr2	173164947	NA
chr2	173297206	NA
chr2	173421249	NA
chr2	173510088	NA
chr2	173505829	NA
chr2	173110188	NA
chr2	173725250	NA
chr2	173091822	NA
chr2	172957725	NA
chr2	173750394	NA
chr2	173135165	NA
chr2	173235924	NA
chr2	173750046	NA
chr2	173107854	NA
chr2	173321463	NA
chr2	173076407	NA
chr2	172963169	NA
chr2	173796854	NA
chr2	173118363	NA
chr2	173159040	NA
chr2	173318179	NA
chr2	173297051	NA
chr2	173304674	NA
chr2	172948907	NA
chr2	172963025	NA
chr2	173311536	NA
chr2	173038188	NA
chr2	172960872	NA
chr2	173298224	NA
chr2	173091598	NA
chr2	173162068	NA
chr2	172993166	NA
chr2	173164284	NA
chr2	173164359	NA
chr2	172997482	NA
chr2	173216405	NA
chr2	173114200	NA
chr2	173118300	NA
chr2	173118470	NA
chr2	173557598	NA
chr2	173319388	NA
chr2	173314713	NA
chr2	173295405	NA
chr2	173558117	NA
chr2	173422385	NA
chr2	172959622	NA
chr2	173312955	NA
chr2	173304036	NA
chr2	173065342	NA
chr2	173065413	NA
chr2	173293300	NA
chr2	173293419	NA
chr2	173164987	NA
chr2	173065352	NA
chr2	173201650	NA
chr2	173542635	NA
chr2	173311553	NA
chr2	173542823	NA
chr2	173361566	NA
chr2	173361567	NA
chr2	173509949	NA
chr2	173061750	NA
chr2	173321106	NA
chr2	173033787	NA
chr2	173034038	NA
chr2	173020375	NA
chr2	172917076	NA
chr2	172986343	NA
chr2	173241753	NA
chr2	173330665	NA
chr2	173037618	NA
chr2	172972792	NA
chr2	172973372	NA
chr2	173387360	NA
chr2	173330871	NA
chr2	173093268	NA
chr2	173437615	NA
chr2	173510062	NA
chr2	173163580	NA
chr2	173304302	NA
chr2	173114238	NA
chr2	173326246	NA
chr2	173557463	NA
chr2	173038064	NA
chr2	173380542	NA
chr2	172938119	NA
chr2	173749953	NA
chr2	173132281	NA
chr2	173672081	NA
chr2	173132218	NA
chr2	173296657	NA
chr2	172959435	NA
chr2	173304579	NA
chr2	173558237	NA
chr2	173091829	NA
chr2	173328488	NA
chr2	173306985	NA
chr2	173750826	NA
chr2	173563176	NA
chr2	173458474	NA
chr2	173251900	NA
chr2	173563270	NA
chr2	173581607	NA
chr2	173581583	NA
chr2	172985992	NA
chr2	172970930	NA
chr2	173297901	NA
chr2	173751687	NA
chr2	173158909	NA
chr2	173327371	NA
chr2	173558186	NA
chr2	173326931	NA
chr2	173664207	NA
chr2	173313965	NA
chr2	173313453	NA
chr2	172997733	NA
chr2	173319112	NA
chr2	173321021	NA
chr2	173321318	NA
chr2	173321413	NA
chr2	173536519	NA
chr2	173707809	NA
chr2	173575559	NA
chr2	173663750	NA
chr2	173690183	NA
chr2	173708855	NA
chr2	172974749	NA
chr2	173663787	NA
chr2	173091261	NA
chr2	173734708	NA
chr2	173251765	NA
chr2	173312704	NA
chr2	173132263	NA
chr2	173092667	NA
chr2	173216023	NA
chr2	172997770	NA
chr2	173327712	NA
chr2	173750186	NA
chr2	173505080	NA
chr2	173313684	NA
chr2	172959308	NA
chr2	173380813	NA
chr2	173248600	NA
chr2	173421469	NA
chr2	173306629	NA
chr2	173313197	NA
chr2	173297425	NA
chr2	173297241	NA
chr2	172972971	NA
chr2	173080117	NA
chr2	173298008	NA
chr2	173664609	NA
chr2	173709116	NA
chr2	172972828	NA
chr2	173326919	NA
chr2	173749682	NA
chr2	173708965	NA
chr2	173298225	NA
chr2	173303031	NA
chr2	173320956	NA
chr2	173574348	NA
chr2	173295297	NA
chr2	173295793	NA
chr2	173293957	NA
chr2	173296624	NA
chr2	173238040	NA
chr2	173042942	NA
chr2	173091583	NA
chr2	173020728	NA
chr2	173296462	NA
chr2	173080180	NA
chr2	172960438	NA
chr2	173447128	NA
chr2	173326199	NA
chr2	173296850	NA
chr2	173330549	NA
chr2	173305847	NA
chr2	173306140	NA
chr2	173808872	NA
chr2	173796835	NA
chr2	173725524	NA
chr2	173690373	NA
chr2	173664178	NA
chr2	172953167	NA
chr2	172962314	NA
chr2	173104712	NA
chr2	173725051	NA
chr2	173215857	NA
chr2	173188230	NA
chr2	173310475	NA
chr2	173237510	NA
chr2	173061764	NA
chr2	173574330	NA
chr2	173163684	NA
chr2	173310545	NA
chr2	173237577	NA
chr2	173158860	NA
chr2	173188228	NA
chr2	172963359	NA
chr2	173112288	NA
chr2	173116283	NA
chr2	173076350	NA
chr2	173504556	NA
chr2	173310380	NA
chr2	173165045	NA
chr2	173303412	NA
chr2	173752026	NA
chr2	172954451	NA
chr2	173164181	NA
chr2	173297388	NA
chr2	173709057	NA
chr2	173729102	NA
chr2	173303065	NA
chr2	173164158	NA
chr2	173096944	NA
chr2	173303047	NA
chr2	173088653	NA
chr2	173509987	NA
chr2	173319509	NA
chr2	173173331	NA
chr2	173096932	NA
chr2	172943320	NA
chr2	173520605	NA
chr2	173417651	NA
chr2	173149939	NA
chr2	173163138	NA
chr2	173581600	NA
chr2	173663874	NA
chr2	173749783	NA
chr2	173037420	NA
chr2	172963931	NA
chr2	172963940	NA
chr2	172968775	NA
chr2	172974789	NA
chr2	173079292	NA
chr2	173216136	NA
chr2	173251804	NA
chr2	173295549	NA
chr2	173295550	NA
chr2	173604553	NA
chr2	173520855	NA
chr2	173135718	NA
chr2	173292713	NA
chr2	173292885	NA
chr2	173118509	NA
chr2	173294454	NA
chr2	173063931	NA
chr2	173110149	NA
chr2	173237498	NA
chr2	173320380	NA
chr2	173292728	NA
chr2	173292709	NA
chr2	173320520	NA
chr2	173296164	NA
chr2	173150012	NA
chr2	172955053	NA
chr2	173163582	NA
chr2	173163745	NA
chr2	173294015	NA
chr2	173306183	NA
chr2	173110755	NA
chr2	173110756	NA
chr2	173557523	NA
chr2	173708795	NA
chr2	173690322	NA
chr2	173729179	NA
chr2	173037082	NA
chr2	173112146	NA
chr2	172967302	NA
chr2	173327823	NA
chr2	173586850	NA
chr2	173542351	NA
chr2	173557656	NA
chr2	173216560	NA
chr2	173297783	NA
chr2	173558667	NA
chr2	173306276	NA
chr2	173238283	NA
chr2	173198600	NA
chr2	172998127	NA
chr2	173295749	NA
chr2	173305731	NA
chr2	173198591	NA
chr2	173038099	NA
chr2	173293076	NA
chr2	173296252	NA
chr2	173328941	NA
chr2	173304254	NA
chr2	173303391	NA
chr2	173293584	NA
chr2	173312681	NA
chr2	173297548	NA
chr2	173319930	NA
chr2	172949041	NA
chr2	173297871	NA
chr2	173105111	NA
chr2	172962538	NA
chr2	173314080	NA
chr2	173421865	NA
chr2	173796072	NA
chr2	173298082	NA
chr2	173303531	NA
chr2	173648224	NA
chr2	173293669	NA
chr2	172953438	NA
chr2	172953460	NA
chr2	173750108	NA
chr2	173542161	NA
chr2	173301871	NA
chr2	172984029	NA
chr2	173294690	NA
chr2	173381084	NA
chr2	172963882	NA
chr2	173020390	NA
chr2	173303800	NA
chr2	173329094	NA
chr2	173163686	NA
chr2	173381095	NA
chr2	172993266	NA
chr2	172954441	NA
chr2	173648177	NA
chr2	173538198	NA
chr2	173510140	NA
chr2	173506589	NA
chr2	173504674	NA
chr2	173307573	NA
chr2	173292287	NA
chr2	173329855	NA
chr2	173329856	NA
chr2	173420024	NA
chr2	173685515	NA
chr2	173419805	NA
chr2	172950055	NA
chr2	173600292	NA
chr2	173600293	NA
chr2	173420609	NA
chr2	173600354	NA
chr2	173329965	NA
chr2	173329714	NA
chr2	173329465	NA
chr2	173792832	NA
chr2	173420546	NA
chr2	172967508	NA
chr2	173292379	NA
chr2	173420633	NA
chr2	173291649	NA
chr2	173420181	NA
chr2	172950073	NA
chr2	172967746	NA
chr2	173420254	NA
chr2	173601067	NA
chr2	173420746	NA
chr2	172968180	NA
chr2	172949262	NA
chr2	173685345	NA
chr2	173600603	NA
chr2	173330117	NA
chr2	173422459	NA
chr2	173591412	NA
chr2	173591081	NA
chr2	173591418	NA
chr2	173601750	NA
chr2	173331936	NA
chr2	173333840	NA
chr2	173462013	NA
chr2	173331974	NA
chr2	173332115	NA
chr2	173461799	NA
chr2	173591150	NA
chr2	173601805	NA
chr2	173592663	NA
chr2	173369391	NA
chr2	173592729	NA
chr2	173426286	NA
chr2	173331957	NA
chr2	173592007	NA
chr2	172964405	NA
chr2	173686663	NA
chr2	173419284	NA
chr2	173462231	NA
chr2	173590936	NA
chr2	173374377	NA
chr2	173590934	NA
chr2	173291590	NA
chr2	173590853	NA
chr2	173461820	NA
chr2	173589024	NA
chr2	173460705	NA
chr2	173591198	NA
chr2	173369231	NA
chr2	173339395	NA
chr2	173461090	NA
chr2	173460803	NA
chr2	173754088	NA
chr2	173463138	NA
chr2	173792625	NA
chr2	173331545	NA
chr2	173601206	NA
chr2	173428833	NA
chr2	173427815	NA
chr2	173724086	NA
chr2	172945529	NA
chr2	173426247	NA
chr2	173463632	NA
chr2	173589157	NA
chr2	173590937	NA
chr2	173591004	NA
